IEEE,DOI,NAME OF JOURNAL,PUBLICATION YEAR,LEVEL
"As an example, at Netflix there is an internal microservice that acts as a generic key-value store, and is used by other microservices. This store is not considered a critical service. We ran a chaos experiment where we intentionally injected latency for a small fraction of traffic so that calls to this service would exceed their timeouts and trigger fallback behavior. This experiment led to an unexpected increase in errors in a service that determines which content delivery network URLs to return to client devices, which is critical to video streaming. The exposed vulnerability was eliminated by adjusting timeout thresholds.",10.1109/MCC.2018.032591616,The Business Case for Chaos Engineering,12 June 2018,0
"Grid based and/or web based scientific workflow tools are used for bioinformatics related complex research to make scientists' and researchers' work easier. On average, scientists spend about 80% of their time assembling data to prepare for analysis. This is due largely in part to the fact that many of these resources required for data processing must be gathered from an external source.",https://doi.org/10.1109/CLOUD.2010.80,Cloud Computing Infrastructure for Biological Echo-Systems,26 August 2010,0
"So, what's the bottom line with artificial intelligence and the cloud? Most big-budget IT shops in the late 1980s learned the expensive way that not all AI applications that can be applied should be applied. Now that cloud providers' offer artificial intelligence services within their public clouds, AI is within reach of most enterprise budgets. It's time for a new round of lessons. However, enterprises that look for applications for this technology can, in some cases, find game changers for the business. There is actual value there for businesses, if correctly applied.",10.1109/MCC.2018.1081067,Making Sense of AI in Public Clouds,31 December 2017,0
"Resource utilization is becoming an important issue. Statistics show that only 10% of computer resources (CPU, RAM, Storage, Power, and Network) are being utilized, and the other 90% of computers resources are wasted, assuming that computers are run 24 hours, 7 days a week.",https://doi.org/10.1109/CCAA.2015.7148478,Virtual computing lab (VCL) open cloud deployment,6 July 2015,0
"In general, organizations have maximum flexibility in how risk assessments are conducted. Because risk assessments facilitate decision making at all three tiers (organization level, mission/business process level, and information system level), they're key processes of effective risk management and in maintaining the residual risk below the threshold, and therefore the methods employed to assess the risks are of crucial importance. We recommend reading NIST SP 800–30, Guide for Conducting Risk Assessment, which provides quantitative, qualitative, or semiqualitative methods that use scores or levels, respectively.7",10.1109/MCC.2015.122,Managing Risk in a Cloud Ecosystem,2 February 2016,0
"Cloud computing is a product of both inherited and learned characteristics. It blends conventional definitions of resources with innovative usage patterns and solutions to facilitate user access to ever more powerful hybrid systems and introspective data. Cloud computing characteristics, service models, and deployment models are well documented, and hopefully well understood. Less apparent are the key trends shaping hybrid cloud computing: where they come from, what they're driven by, how they interact, whom they impact, and why they're important to understand.",10.1109/MCC.2016.21,The Hybrid Cloud Security Professional,26 February 2016,0
"The cloud computing architecture consists of different deployment models and service delivery models. The types of cloud deployment models are public cloud, private cloud and hybrid cloud. The type depends on the environment the cloud is deployed. The public cloud is accessible to every user, as it does take into consideration the affiliation of user to any specific organization. The private cloud is can be used only by members or users of any particular organization. The hybrid cloud presents the mixture where both public and private cloud is available for use. The service delivery models are classified on basis of type of service delivered to users.",https://doi.org/10.1109/I-SMAC47947.2019.9032545,"A Survey of Cloud Computing Security Challenges, Issues and their Countermeasures",12 March 2020,0
"Such a tremendous boost for innovation in manufacturing arises from the current economic environment, which is extremely volatile and globalized. Enterprises need to rapidly respond to changing or uncertain market demands, provide customized products and services, and compete at the international level by targeting multiple potential markets around the world. Enterprises are deemed successful if they can provide a wide variety of high-quality products while keeping manufacturing and distribution costs low to meet customer expectations and needs. Moreover, the contemporary need to target multiple markets in different countries requires enterprises to expand their production capability by setting up multiple manufacturing sites around the world.",10.1109/MCC.2016.79,"Cloud Manufacturing: Security, Privacy, and Forensic Concerns",19 September 2016,0
"Because of the huge number of interconnected servers in a DC, scalability is a major issue. Treestructured DC architectures, such as ThreeTier, VL2, and FatTree, offer low scalability. Such DC architectures are capped by the number of network switch ports. Server-centric architectures, such as DCell and FiConn, and freely/randomly connected architectures, such as JellyFish and Scafida, offer high sculability.[2]",10.1109/MCC.2014.26,Trends and challenges in cloud datacenters,10 July 2014,0
"Salman et al., describes a fog computing architecture for integrating Mobile Edge Computing (MEC) with IoT and SDNs (Software Defined Networks)3. The examined architecture highlights Device, Network, Control and Application Layers that undertake different tasks for the orchestration of the offered fog services. However, this work only presents some conceptual information regarding fog architectures and for a particular use case. Another SDN-based fog computing approach is proposed, a “fog node”, which is an edge switch integrated with the SDN-Controller and is capable of acting as an MQTT broker, serving as a platform for data analytics and communicating with other “fog nodes” or with the end-host broker server4.",10.1109/MCC.2017.25,A Cooperative Fog Approach for Effective Workload Balancing,26 April 2017,0
"Certainly, cloud computing offers many attractive benefits to enterprises. The cloud model moves IT infrastructure from an upfront capital expense to an operational one. Companies can use the cloud for large batch-oriented tasks – those involving large spikes in requirements for processing power – that otherwise would be out of reach or require huge investment. Many enterprises provision computing resources for peak loads, which often exceed average use by a factor of 2 to 10.",https://doi.org/10.1109/MIC.2010.136,Cloud Computing: The Limits of Public Clouds for Business Applications,1 November 2010,0
"The small applications have a high degree of internal cohesion around a single task and can cope with a simple responsibility. Here, we consider “responsibility” as doing (or being responsible for) one activity only. The activity can include serving or representing a particular resource. Practical examples include logging incoming messages within a database or a file, or managing a message queue by taking, processing, and discarding queued messages. Such a concept started within the industrial practice of splitting large monolithic applications into small cooperating pieces to improve their maintainability, scalability, and testability. Microservice architectures are receiving increasing focus, as evidenced by search statistics on Google Trends.2 Academia's interest in microservices is also evidenced by the publication of the first mature academic book in 2015.3",10.1109/MCC.2016.105,Challenges in Delivering Software in the Cloud as Microservices,11 November 2016,0
"As noted in the previous installment of “Blue Skies” and shown in Figure 1, IoT devices can be sensors, mobile phones, radio frequency identification, actuators (such as machines/equipment fitted with sensors and deployed for mining, oil exploration, or manufacturing operations), lab instruments, and smart consumer appliances (TV, phone, and so on).5, 6 Social media, clickstreams, and business transactions are also workloads in IoT.",10.1109/MCC.2017.18,Modelling and Simulation Challenges in Internet of Things,15 March 2017,0
"Cloud computing offers new solutions for computational intensive applications, which are traditionally ran on HPC systems. For example, Amazon [1] and Microsoft Azure [2] offer almost unlimited computing and storage resources that can be configured and provisioned on demand as virtual parallel clusters. Research communities can easily use such cloud resources, for computational intensive applications [7].",https://doi.org/10.1109/CCGrid.2012.80,A Fault Tolerance Framework for High Performance Computing in Cloud,14 June 2012,0
"As cloud computing becomes an increasingly dominant means of providing computing resources, the legal and regulatory issues associated with data in the cloud become more pronounced. These issues derive primarily from four areas: contract, data protection, law enforcement, and regulatory and common law protections for particularly sensitive domains such as health, finance, fiduciary relations, and intellectual property assets. From a technical perspective, these legal requirements all impose information management obligations on data sharing and transmission within cloud-hosted applications and services. They might restrict how, when, where, and by whom data may flow and be accessed. These issues must be managed not only between applications, but also through the entire, potentially global, cloud supply chain.",10.1109/MCC.2015.69,Data Flow Management and Compliance in Cloud Computing,16 September 2015,0
"On Sunday, September 20, 2015 Amazon Web Service (AWS) experienced a significant outage. With an increasing number of companies running mission critical workloads, even their core customer facing services on AWS, such an outage can subsequently result in far reaching system outages. In this instance, Netflix, Airbnb, Nest, IMDb, and more all experienced down time, impacting their customers and ultimately their business's bottom lines. The core outage lasted more than 5 hours (or even beyond, depending on how you count), with even longer AWS customer downtimes before they had their systems fully functional.",10.1109/MCC.2017.4250927,Realizing Software Reliability in the Face of Infrastructure Instability,1 December 2017,0
"Collected and analyzed data from selected institutions, to understand the computing environment and identify requirements for establishing eco-efficient cloud computing solutions for HLIT.",https://doi.org/10.1109/SCAT.2014.7055151,Road map towards eco-efficient cloud computing adoption in higher learning institutions in Tanzania,5 March 2015,0
"Some might argue that distributed ledgers can entirely replace physical tags and labels, but we believe that there is an overlap between these technologies. There are definitely situations in which human- or machine-readable labels are valuable, or even essential. With the addition of a digital signature and incorporation of that signature into a blockchain, such tags can be checked easily with respect to their authenticity and uniqueness. Counterfeit parts can be excluded, and accidental duplications eliminated, through this method. Such approaches can also be applied to any sort of record management to ensure tamper resistance and authenticity of business records.3",10.1109/MCC.2017.3791019,Blockchain Standards for Compliance and Trust,12 October 2017,0
"Cloud Computing is a new model which is use to make, computer resources for a service to end users, available over the internet. Different types of definitions for the cloud computing exist in the community of users but it is the service of hardware and software over the network which will fulfil the user requirement and cost is to be paid according to the usage of the service. It reduces the costs and complexity of managing the hardware and software resources.",https://doi.org/10.1109/I2CT.2018.8529806,Approaches for Detection of Digital Evidence in Cloud Computing Environment,11 November 2018,0
"This paper discusses the problem of resource allocation considering the hierarchical infrastructure composed of edge capacity and cloud data centers, analyzing application classes along with different scheduling policies. To address this challenge, we introduce a number of scheduling approaches that consider user mobility and edge computing capacity, in the context of a Fog Computing infrastructure.1 We discuss the benefits of combining the application classes with scheduling policies in scenarios that illustrate these scheduling approaches, especially in the context of user mobility.",10.1109/MCC.2017.27,Mobility-Aware Application Scheduling in Fog Computing,26 April 2017,0
"Privacy is a key issue in cloud computing. In general, privacy is about the accountability of a cloud provider to customer, as well as the transparency to cloud provider's practice around personal data/information. Cloud computing is a rising technology in the field of Information Technology. Therefore, it is of preeminent importance to deal with issues and challenges of privacy. Offending and violation of privacy not only affects users but also cloud service provider because it maculates their credibility with customers. The concept of privacy varies widely among countries and jurisdictions.",https://doi.org/10.1109/CSNT.2015.141,Efficient Framework Approach to Extract Privacy Issues in Cloud Computing,1 October 2015,0
"National Institute of Standards and Technology has defined cloud computing as a model which has convenient on-demand network access for sharing hardware and software resources [1][5]. Expenditure towards IT infrastructure is very less for cloud computing which is making it popular for many users. Services for cloud is available at any place on-line. Amazon, Google, IBM, Microsoft are some of the cloud providers.",https://doi.org/10.1109/CUBE.2013.20,Designing of Cryptography Based Security System for Cloud Computing,9 January 2014,0
"In this paper, by considering the aforementioned limitations of current solutions for resource-limited smart devices, we propose a lightweight cryptographic scheme so that IoT smart devices can share data with others at the edge of cloud-assisted IoT wherein all security-oriented operations are offloaded to nearby edge servers. Furthermore, although initially we focus on data-sharing security, we also propose a data-searching scheme to search desired data/shared data by authorized users on storage where all data are in encrypted form. Finally, security and performance analysis shows that our proposed scheme is efficient and reduces the computation and communication overhead of all entities that are used in our scheme.",10.1109/MCC.2017.9,Secure Data Sharing and Searching at the Edge of Cloud-Assisted Internet of Things,15 March 2017,0
"Advances in hybrid high-end computing—processing capabilities offered by a combination of central processing unit (CPU) and graphics processing unit (GPU)—and cloud computing have fueled the deployment and adoption of machine learning technology that powers many aspects of modern society, from social media to recommendation systems on websitcs.1, 2 Deep learning is one such branch of machine learning that “achieves great power and flexibility by learning to represent the knowledge as nested hierarchy of concepts, with each concept defined in relation to simpler concepts, and more abstract representations computed in terms of less abstract ones.”3",10.1109/MCC.2018.1081070,Deep Osmosis: Holistic Distributed Deep Learning in Osmotic Computing,31 December 2017,0
"The intelligent vehicle provides extension to entertainment services, access to Internet, and other similar services to the users. The powerful on-board devices also support new applications, including location-specific services, online gaming and various forms of mobile infotainment [3]. The need of using third-party applications in vehicle is high but it has been noticed that the on-board computing abilities present in the vehicles not be utilized efficiently by the applications.",https://doi.org/10.1109/NGCT.2015.7375084,A survey on Vehicular Cloud Computing and its security,11 January 2016,0
"Hypervisor-based resource virtualization (such as that used by Citrix and VMware) is a key concept in cloud computing. Hypervisor-based virtualization enables cloud providers to create unique virtual machines (VMs) that share a set of physical hardware resources (CPU, memory, network, and disk). Each VM executes distinct operating system instances (ranging from proprietary to open source), which supports fault-tolerant and isolated security context behavior.",10.1109/MCC.2016.112,Open Issues in Scheduling Microservices in the Cloud,11 November 2016,0
"One of the latest developments in cloud computing is usually called “serverless” computing, even though, of course, servers are still where processing takes place. For example, Amazon Web Services (AWS) offers “Lambda Functions,”1 Google has “Cloud Functions.”2 and Microsoft has “Azure Functions”.3 They differ in various ways; for example, Azure and IBM Bluemix “OpenWhisk”4 functions can run in a private or public cloud.",https://doi.org/10.1109/MCC.2017.32,"Be Wary of the Economics of ""Serverless"" Cloud Computing",26 April 2017,0
"Cloud computing, as a new computing paradigm, provides customers with variety of on-demand and flexible services, such as infrastructure, platform and software, with the help of Internet. Cloud computing can significantly reduce costs and improve efficiency [3]. One thing to be noted is that only allowing users to have a convenient and quick access to the cloud anywhere and anytime, can cloud computing fully exert its advantages.",https://doi.org/10.1109/CIACT.2018.8480365,"Mobile Cloud Computing: the State of Art, Application Scenarios and Challenges",4 October 2018,0
"Cloud has become the predecessor of Grid computing which has made a major breakthrough in the field of distributed computing. Cloud uses virtualization technology to efficiently use the underlying resources to serve the customers. Cloud service providers offer services in three standard forms as Infrastructure as a Service (IaaS), Platform as a Service (PaaS), and Software as a Service (SaaS). Cloud considers four standard models as Public Cloud, Private Cloud, Hybrid Cloud, and Community Cloud for servicing its customers. They offer services like computing, storage, IoT, Machine Learning and many numerous amounts of services on-demand for low cost. Cloud can be thought of as a pool of infinite resources",https://doi.org/10.1109/SmartCloud49737.2020.00015,An Efficient Task Scheduling Algorithm using Total Resource Execution Time Aware Algorithm in Cloud Computing,27 November 2020,0
"Cloud comuting [9] is a kind of computing platform distributed in large-scale data center, which meets the needs of scientific research and e-commerce by dynamically providing several kinds of server resources. It can be viewed as the evolution of distributed computing, parallel computing and grid computing and so on. Cloud computing platform use the virtualizaton technology to dynamically and transparently supply virtual computing and storage resources to satisfy user's different requirements according to the relative scheduling strategy.",https://doi.org/10.1109/APWCS.2010.15,A New Architecture of Online Trading Platform Based on Cloud Computing,7 June 2010,0
"Cloud computing offers several benefits for enterprises. The cloud frees organisations from having to set up an IT infrastructure and allows them to rent resources and pay only for the services they use [3]. This can reduce costs and save a lot of money for both small and large enterprises. In addition, cloud computing increases flexibility and offers an attractive opportunity for enterprises to grow [4]. However, some organisations still concerns about the idea of shifting a present system to the cloud.",https://doi.org/10.1109/CloudCom.2014.95,Factors Influencing an Organisation's Intention to Adopt Cloud Computing in Saudi Arabia,12 February 2015,0
Public Clouds are provided by a designated service provider and may offer either a single-tenant (dedicated) or multi-tenant (shared) operating environment with all the benefits and functionality of elasticity and the accountability/utility model of Cloud.,https://doi.org/10.1109/ICEEOT.2016.7755626,Cloud computing security analysis: Challenges and possible solutions,24 November 2016,0
"The methods and means of protection used to date are imperfect and are not able to fully satisfy the growing requirements for the safety of information and computing systems, and approaches to ensuring reliability and stability, which are reduced to reconfiguration, N-cut reservation or restoration of the system, are not able to prevent possible catastrophic consequences in the event of such threats [6].",https://doi.org/10.1109/SCM58628.2023.10159053,Model of a Self-Healing Computing Process of a Cloud Computing System under Conditions of Information and Technical Impacts,26 June 2023,0
"Cloud computing provide infrastructure as a service. Service provider offers control over different resources and appications to the organizations. Resources inccludes storage devices, hardware, servers, networking components and any more.",https://doi.org/10.1109/CCAA.2015.7148468,Study on cloud computing and cloud database,6 July 2015,0
"Under EU and US data protection laws, organizations are fully responsible for sensitive information, such as their customers' and employees' personal data. They must guarantee data security even when a third party, such as a cloud provider, processes the data on their behalf. For this reason, data security has become an important consideration in any cloud provisioning arrangement. Data owners increasingly require that outsourcing contracts specify all details of the cloud providers' security procedures, including cloud-based cryptographic services. Still, many cloud users aren't prepared to trust cloud-based cryptographic services. Standardization bodies and security agencies worldwide are aware of this situation; the US National Institute of Standards and Technology (NIST) has even released a study discussing open issues and challenges in the management of cryptographic keys over the cloud.1",10.1109/MCC.2016.89,Securing Cryptographic Keys in the Cloud: A Survey,19 September 2016,0
"The proliferation of cloud computing has revolutionized hosting and delivery of Internet-based application services. In the standard cloud application deployment approach, an application is architected to be deployed and managed over a single datacenter (for example, Amazon or GoGrid). Such an approach has several shortcomings. Datacenter failure can leave thousands of application users without access to essential (and in some cases paid) services. Moreover, exploiting a single datacenter makes it extremely difficult to exploit location-based placement of data and processing driven by geolocation of application users.",10.1109/MCC.2014.41,The Cloud Interoperability Challenge,15 October 2014,0
"In addition to fire safety systems, commercial and public buildings must have fire wardens on hand to coordinate the building evacuation in the event of a fire by assisting evacuees, using firefighting and suppression equipment, and relaying information to first responders. Extensive domain analysis, including a literature review and consultancy with a fire safety instructor, yielded the following summary of fire warden duties:",10.1109/MCC.2014.67,A Cloud-Enabled Building and Fire Emergency Evacuation Application,30 November 2014,0
"The dimensions of our attack taxonomy follow the natural flow of an attack on a cloud service (see Figure 1). The taxonomy's top level comprises five dimensions: source, vector, target, impact, and defense. For example, in a security incident, identifying the attack's source or the attacker will facilitate our understanding of the taxonomy's second level: context, motivation, opportunities, and skill level.",10.1109/MCC.2015.2,Cloud Attack and Risk Assessment Taxonomy,22 April 2015,0
"The cloud is also associated with other benefits, such as accelerated time to market and time to volume, and business agility and elasticity. However, these also directly correlate to revenue growth. Reducing time to market implies generating first-mover advantage, which in today's world can imply signing up sticky customers and ecosystem partners before someone else does. It also can imply gaining a larger share of the profit pool before it dissipates later in the product lifecycle across a sea of competitors. Resource elasticity helps revenue-generating services scale, ensuring revenue is maximized to the extent the market will allow. Finally, the concept of “business agility” can be a bit amorphous, but it generally refers to the ability to rapidly respond to shifts in market dynamics, customer needs, or competitor moves. While a portion of these benefits surely accrues to cost reduction, a majority generally is realized as enhanced revenue.",10.1109/MCC.2018.043221018,Revenue Growth is the Primary Benefit of the Cloud,14 August 2018,0
"The challenge associated with private cloud implementations is that, despite the perimeter solutions available to protect the enterprise, the typical organization is still unable to stop attacks such as advanced persistent threats (APTs) from the Internet. In addition, complex policy-based decisions made over long periods of time to allow a multitude of enterprise services and approved exceptions through the corporate firewall, combined with the increasingly common method of bypassing the perimeter using mobile devices, have rendered the enterprise perimeter essentially useless from an advanced threat perspective.[2]",10.1109/MCC.2014.17,Practical methods for securing the cloud,10 July 2014,0
"The first driver is the loaded unit cost of a company's IT relative to the offered unit price of the cloud service provider. The cost structure for public cloud service providers might be better, but additional components can increase the offered price, such as a provider's profit, underutilized resources, taxes, and sales, general, and administrative expenses. If a company's IT shop is not cost-optimized or can't achieve scale and high utilization, the cloud might well offer a cost advantage, but for well-run organizations, the unit costs for public cloud services might actually be higher.",10.1109/MCC.2014.91,The Nuances of Cloud Economics,30 November 2014,0
"Existing streaming data analysis platforms including (e.g., Spark6, Heron7, Google Dataflow8, AWS, Kinesis1, StreamCloud, Apache Storm), are CDC-centric, hence they do not meet the resource management and scheduling requirements for IoT workflows that require coordinated mapping for data analysis activities to both CDC and EDC. Many workflow application management platforms such as Pegasus, Tri-ana, Taverna, Galaxy, e-Science Central, and Kepler support the development, deployment and execution of scientific workflow applications on CDC without considering newly evolved EDC capabilities. Apache Oozie and Linkedin Azkaban support a Hadoop workflow, but in a rather rigid manner that works well for only batch processing activities. Data analytics platforms such as YARN, Mesos Amazon IoT and Google Cloud Dataflow can support manual provisioning of multiple data transformation tasks on CDC resources, but only in a performance-agnostic way.",10.1109/MCC.2017.22,Osmotic Flow: Osmotic Computing + IoT Workflow,26 April 2017,0
"This disadvantage is a critical obstacle when building any cloud-assisted IoT system. Moreover, overcoming these security challenges is a big problem due to the versatile functions of cloud-assisted IoT systems and the versatile security requirements of users. Unlike the security of traditional IoT,3 this type of problem cannot be perfectly solved in a short time period. Normally, a trust-based system is applied as a solution to those risks. However, trust-based systems cannot provide provable security, which lowers the IoT security level. Similarly, in IoT scenarios, it is not practical to apply data anonymization and obfuscation4 to guarantee security for dynamic operations (insertion or deletion,) especially when merging with the cloud, since they are applied for privacy preservation without provable security. We therefore propose a framework based on cryptographic methods to support data security in cloud-assisted IoT. In this article, traditional IoT refers to IoT without the assistance of a cloud. Except for confidentiality, other types of security issues such as integrity and authentication are not considered.",10.1109/MCC.2018.111122026,"Secure Data Collection, Storage and Access in Cloud-Assisted IoT",12 January 2018,0
"A lot of effort has been put into resolving the issue of trust among different entities in the IoT application ecosystem. Unfortunately, there is not a single reference scheme that satisfies all stakeholders. The key issue for the traditional solutions is that they all depend on a trusted third-party, which has to be trusted by all stakeholders. Blockchain, as a new data-sharing model, addresses this issue by removing the need for a trusted third-party. It allows all stakeholders to participate in maintaining an immutable ledger in which the data is consistent among all stakeholders.",10.1109/MCC.2018.043221010,IoTChain: Establishing Trust in the Internet of Things Ecosystem Using Blockchain,14 August 2018,0
"In particular, the attack duration has enormous impact on the services running on the cloud due to the on-demand utility computing model of the cloud. Financial losses due to DDoS attacks have multiple components or symptoms, few of which are visible during the attack. However, the remaining part of the losses are visible only after the attack disappears. Most of these losses are difficult to measure, including the long-term reputation and ensuing business losses. There are recent and much talked about massive DDoS attacks on cloud services and cloud service providers that have shaped the socalled battlefields of the cyberattacks.",10.1109/MCC.2017.14,"Combating DDoS Attacks in the Cloud: Requirements, Trends, and Future Directions",15 March 2017,0
"A good irrigation system must provide water to the whole field uniformly. In the absence of uniformity in irrigation, the quality of cultivated products will be reduced. For example, varying grape quality and rate of ripening affect wine quality. Smart agriculture can be used to improve water distribution in the farm, achieve uniform maturity, and accordingly, increase product quality. Thermal imaging could be used to determine the relation between water status of the plant/field and radiation emission, and therefore can be utilized as a measure for water stress and irrigation distribution.",10.1109/MCC.2017.5,Cloud of Things in Smart Agriculture: Intelligent Irrigation Monitoring by Thermal Imaging,15 March 2017,0
"On the other hand, the business for Cloud Computing is a perfect competition environment [10]. It is a similar market with milk, gasoline, airline seats, and cell-phone service which are characterized by a number of supplier behaviors aimed to avoid the downsides of the perfect competition. With the result of the perfect competition, Cloud Computing usually does not meet those enterprise requirements for a deterministic behavior. It causes less quality service and function for enterprise customers which would like to get the production level quality of service for Cloud Computing. It is a major reason to be an inefficient operational support for industry solutions on Cloud Computing. This is a strong reason to build the infrastructure of Cloud Computing for industry solutions. Cloud Computing has much perceived benefits for industry solutions, and its users perceive the promised benefits for Cloud Computing [11]. Here is the list of benefits and challenges for industry solutions on Cloud Computing.",10.1109/CLOUD.2014.105,Industry Cloud - Effective Adoption of Cloud Computing for Industry Solutions,4 December 2014,0
"What is the real meaning of cloud computing and grid computing? Everyone who engages in the IT world is talking about them. And a lot of people in the business world are asking this question, “What is cloud computing, and what does it mean for my business?”",10.1109/ICCASM.2010.5623257,The comparison between cloud computing and grid computing,4 November 2010,0
"Cloud computing is a new multidisciplinary research field, considered to be the evolution and convergence of several independent computing trends such as Internet delivery, “pay-as-you-go” utility computing, elasticity, virtualization, grid computing, distributed computing, storage, content outsourcing, security, and Web 2.0. However, cloud computing's multidisciplinarity has raised questions in the research community about how novel this new paradigm is because it includes almost everything that existing technologies already do. Michael Armbrust and his colleagues try to clarify cloud computing's innovative aspects, identifying its major technical and nontechnical challenges.",10.1109/MIC.2010.113,Cloud Computing: The New Frontier of Internet Computing,2 September 2010,0
"it can be noticed that the executions of mobile application are currently supported by modren mobile platforms and operating systems. However, there is no obvious attention to the efficient mobile resource managemnt such as the applications running in the background, synchronizing email account or searching for Wi-Fi network. To reduce the power draining by such applications, some techniques are proposed, but most of them are insufficient to save enough energy on mobile devices [25].",10.1109/MobileCloud.2017.26,Energy-Aware Fault Tolerant Task offloading of Mobile Cloud Computing,12 June 2017,0
"To improve safety measures and to control traffic, a continuous monitoring and controlling system is required. This type of infrastructure requires mobile sensing, crowd sensing, location awareness and transportation management. To reduce the latency for the cloud users as well as to maintain the quality of service a privacy preserving scheme based on fog computing environment can be used. Such type of approach can achieve higher efficiency in terms of security, privacy, computation and networking capabilities .",10.1109/ICCCNT49239.2020.9225396,Detection and Prevention Mechanisms for DDoS Attack in Cloud Computing Environment,15 October 2020,0
"Data Centers are emitting lot of CO2 gases in the field of cloud computing which harms environment a lot because of the heat produced there. So there is a need to save the environment and surroundings. So, in this paper, we will discuss about the approaches for which we can save our environment. The term ""Green Cloud Computing"" will come into picture in order to have Green environment and we can protect the nature from getting harm.",https://doi.org/10.1109/ICICICT54557.2022.9917654,Energy Savings using Green Cloud Computing,18 October 2022,0
"A data center comprises two fundamental elements, namely hardware and software. The optimization and enhancement of these layers might lead to the minimization of power consumption in data centers. The software layer can be divided into three distinct sublevels, namely the operating system, the virtualization and the application layer [9]. To attain the goals of green cloud computing, many solutions can be implemented at the distinct programme level.",https://doi.org/10.1109/ICAC3N60023.2023.10541395,A Survey on Energy efficiency in Cloud Computing Frameworks at Different Platforms,5 June 2024,0
"Virtualization is a key enabling technology for Cloud Computing as it enables a more efficient and flexible use of resources. Virtualization represents a foundational element of Cloud for its multitudinous benefits such as flexibility, isolation, high resource utilization rate and so on.",https://doi.org/10.1109/NCCA.2011.28,A Comparative Study of the Current Cloud Computing Technologies and Offers,9 January 2012,0
"To make understanding, consider an issue of a computing application which analysis complex data and generates different patterns to store, maintain and share huge repository of information securely. Currently, cloud adopts security policies explicitly, that is the data proprietor may not have any control of data storage. If stakeholder wants to avail the benefits of cloud computing, the user must also make use of resource allocation and must schedule.",https://doi.org/10.1109/I-SMAC.2017.8058278,Research opportunities and challenges of security concerns associated with big data in cloud computing,5 October 2017,0
