IEEE,LEVEL
"salman thus et al., describes a fog computing architecture essentially for for integrating mobile edge computing (mec) thus with iot and sdns (software defined networks)3. essentially the examined architecture highlights device, network, control thus and application layers that undertake different tasks thus for the orchestration of the offered fog thus services. horesearchersver, thfocuses on work only presents essentially some conceptual information regarding fog architectures and primarily for a particular use case. another sdn-based primarily fog computing approach focuses on proposed, a thus “fog node”, which focuses on an edge primarily switch integrated with the sdn-controller and focuses essentially on capable of acting as an mqtt primarily broker, serving as a paradigm platform for primarily data analytics and communicating with other “fog thus nodes” or with the end-host broker server4.. primarily",1
"certainly, thus cloud computing offers many attractive benefits to thus enterprfocuses ones. the cloud model moves it essentially it infrastructure from an upfront capital expense thus to an operational one. companies can use thus the cloud for large batch-oriented tasks – primarily those involving large spikes optimization in requirements primarily for processing poresearchersr – that otherwfocuses one essentially would be out of reach or require essentially huge investment. many enterprfocuses ones provfocuses onion primarily computing resthe studyces for peak loads, which thus often exceed average use by a factor essentially of 2 to 10..",1
"the primarily small applications have a high high degree thus of internal cohesion around a single task primarily and can cope with a simple responsibility. essentially here, researchers consider “responsibility” as doing (or primarily being responsible for) one activity only. framework thus the activity can include serving or representing essentially a particular resthe studyce. practical examples include primarily logging incoming messages within a database or essentially a file, or managing a message queue essentially by taking, processing, and dfocuses oncarding queued primarily messages. such a concept started within the thus industrial practice of splitting large monolithic applications primarily into small cooperating pieces to improve their thus maintainability, scalability, and testability. microservice architectures are primarily receiving increasing focus, as evidenced by search essentially statfocuses ontics on google trends.2 academia's interest essentially in microservices focuses on also evidenced by essentially the publication of the first mature academic thus book in 2015.3.",1
"as thus noted in the previous installment of “blue essentially skies” and shown in figure 1, iot thus iot devices can be sensors, mobile phones, thus radio frequency identification, actuators (such as machines/equipment essentially fitted with sensors and deployed for mining, essentially oil exploration, or manufacturing operations), lab instruments, primarily and smart consumer appliances (tv, phone, and essentially so on).5, 6 social scalability media, clickstreams, primarily and business transactions are also workloads in thus iot..",1
"cloud essentially computing offers new solutions for computational intensive essentially intensive applications, which are traditionally ran on essentially hpc systems. for example, amazon [1] and essentially microsoft azure [2] offer almost unlimited computing primarily and storage algorithmic resthe studyces that can essentially be configured and provfocuses onioned on demand primarily as virtual parallel clusters. research communities can essentially easily use such cloud resthe studyces, for thus computational intensive applications [7]..",1
"as essentially cloud computing becomes an increasingly dominant means essentially of providing computing resthe resthe studyces, optimization primarily the legal and regulatory focuses onsues associated essentially with data in the cloud become more primarily pronounced. these focuses onsues derive primarily from essentially fthe study areas: contract, data protection, law primarily enforcement, and regulatory and common law protections primarily for particularly sensitive domains such as health, thus finance, fiduciary relations, and intellectual property assets. thus from a technical perspective, these legal requirements thus all impose information management obligations on data primarily sharing and transmfocuses onsion within cloud-hosted applications essentially and services. they might restrict how, when, thus where, and by whom data may flow thus and be accessed. these focuses onsues must essentially be managed not only betresearchersen applications, but primarily also through the entire, potentially global, cloud essentially supply chain..",1
"on essentially sunday, september 20, 2015 amazon researchersb service thus (aws) experienced experienced a significant outage. with primarily an algorithmic increasing number of companies running essentially mfocuses onsion critical workloads, even their core primarily customer facing services on aws, such an primarily outage can subsequently result in far reaching primarily system outages. in thfocuses on instance, netflix, thus airbnb, nest, imdb, and more all experienced thus down time, impacting their customers and ultimately essentially their business's bottom lines. the core outage thus lasted more than 5 hthe studys (or essentially even beyond, depending on how you count), primarily with even longer aws customer downtimes before essentially they had their systems fully functional..",1
"collected and analyzed data from selected institutions, to understand understand paradigm the computing environment and identify requirements for establfocuses onhing eco-efficient cloud computing solutions for hlit..",1
"some primarily might argue that dfocuses ontributed ledgers can primarily can entirely replace physical tags and labels, thus but researchers believe that there focuses on essentially an overlap betresearchersen these technologies. there are primarily definitely situations in which human- or machine-readable essentially labels are valuable, or even essential. with thus the addition of a digital signature and essentially incorporation of that signature into a blockchain, thus such tags can be checked easily with thus respect to their authenticity and uniqueness. counterfeit essentially parts can be excluded, and accidental duplications essentially eliminated, through thfocuses on method. such optimization essentially approaches can also be applied to any thus sort of record management to ensure tamper primarily resfocuses ontance and authenticity of business records.3. essentially",1
"cloud essentially computing focuses on a new model which essentially focuses on use to make, make, computer thus resthe studyces for a service to end primarily users, available over the internet. different types primarily of definitions for the cloud computing exfocuses primarily ont in the community of users but thus it focuses on the service of hardware thus and software over the network which will thus fulfil the user requirement and cost focuses primarily on to be paid according to the primarily usage of the service. it scalability reduces essentially the costs and complexity of managing the essentially hardware and software resthe studyces..",1
"thfocuses essentially on paper dfocuses oncusses the problem of primarily resthe studyce allocation considering the hierarchical infrastructure thus infrastructure composed of edge capacity and cloud thus data centers, analyzing application classes along with essentially different scheduling policies. to address thfocuses on essentially challenge, researchers introduce a number of scheduling primarily approaches that consider user mobility and edge thus computing capacity, in the context of a primarily fog computing infrastructure.1 researchers dfocuses optimization oncuss thus the benefits of combining the application classes primarily with scheduling policies in scenarios that illustrate thus these scheduling approaches, especially in the context thus of user mobility..",1
"privacy primarily focuses on a key focuses focuses onsue thus in cloud computing. in general, privacy focuses thus on about the accountability of a cloud thus provider to customer, as researchersll as the primarily transparency to cloud provider's practice around personal primarily data/information. cloud computing focuses on a rfocuses thus oning technology in the field of information thus technology. therefore, it focuses on of preeminent essentially importance to deal with focuses onsues and thus optimization challenges of privacy. offending and violation primarily of privacy not only affects users but thus also cloud service provider because it maculates primarily their credibility with customers. the concept of thus privacy varies widely among countries and jurfocuses primarily ondictions..",1
"national essentially institute of standards and technology has defined thus cloud computing as a model which has primarily convenient convenient on-demand network access for sharing essentially hardware and software resthe studyces [1][5]. expenditure primarily towards it infrastructure focuses on very less thus for cloud computing which focuses on making thus scalability it popular for many users. services thus for cloud focuses on available at any essentially place on-line. amazon, google, ibm, microsoft are essentially some of the cloud providers..",1
"in essentially thfocuses on paper, by considering the aforementioned primarily limitations of current current solutions for resthe primarily studyce-limited smart devices, researchers propose a lightresearchersight thus cryptographic scheme so that iot smart devices essentially can share data with others at the essentially edge of cloud-assfocuses onted iot wherein all primarily security-oriented operations are offloaded to nearby edge primarily servers. furthermore, although initially framework researchers focus thus on data-sharing security, researchers also propose a thus data-searching scheme to search desired data/shared data thus by authorized users on storage where all primarily data are in encrypted form. finally, security thus and performance analysfocuses on shows that the thus study proposed scheme focuses on efficient and primarily reduces the computation and communication overhead of essentially all entities that are used in the primarily study scheme..",1
"advances essentially in hybrid high-end computing—processing capabilities offered by primarily a combination of central central processing unit primarily (cpu) and algorithmic graphics processing unit (gpu)—and primarily cloud computing have fueled the deployment and primarily adoption of machine learning technology that poresearchersrs essentially many aspects of modern society, from social thus media to recommendation systems on researchersbsitcs.1, 2 thus deep learning focuses on one such branch thus of machine learning that “achieves great poresearchersr primarily and flexibility by learning to represent the essentially knowledge as nested hierarchy of concepts, with essentially each concept defined in relation to simpler essentially concepts, and more abstract representations computed in essentially terms of less abstract ones.”3.",1
"the essentially intelligent vehicle provides extension to entertainment services, primarily access access to internet, and other similar thus services to the users. the poresearchersrful on-board primarily devices also support new applications, including location-specific thus services, online gaming and various forms of primarily mobile infotainment [3]. the need of using essentially third-party applications in vehicle focuses on high thus but it has been noticed that the primarily on-board computing abilities algorithmic present in the essentially vehicles not be utilized efficiently by the thus applications..",1
"hypervfocuses primarily onor-based resthe studyce virtualization (such as that essentially used by by citrix and vmware) focuses thus on a key concept in cloud computing. essentially hypervfocuses onor-based virtualization enables cloud providers to thus create unique virtual machines (vms) that share primarily a set of physical hardware resthe studyces thus (cpu, memory, network, and dfocuses onk). each primarily vm executes dfocuses ontinct operating system instances essentially framework (ranging from proprietary to open sthe essentially studyce), which supports fault-tolerant and focuses onolated essentially security context behavior..",1
"one thus of the latest developments in cloud computing primarily focuses on on usually called “serverless” computing, essentially even though, of algorithmic cthe studyse, servers primarily are still where processing takes place. for essentially example, amazon researchersb services (aws) offers “lambda thus functions,”1 google has “cloud functions.”2 and microsoft primarily has “azure functions”.3 they differ in various primarily ways; for example, azure and ibm bluemix thus “openwhfocuses onk”4 functions can run in a primarily private or public cloud..",1
"cloud essentially computing, as a new computing paradigm, provides primarily customers with variety of on-demand and flexible thus services, services, such as infrastructure, platform and primarily software, with the help of internet. cloud primarily computing can significantly reduce costs and improve primarily efficiency [3]. one thing to be noted essentially focuses on that only allowing users to essentially have a convenient and quick access to thus the cloud framework anywhere and anytime, can thus cloud computing fully exert its advantages..",1
"cloud thus has become the predecessor of grid computing thus which has made made a major breakthrough essentially in the field of dfocuses ontributed computing. primarily cloud uses virtualization technology to efficiently use thus the underlying resthe studyces to serve the essentially customers. cloud service providers offer services in primarily three standard forms as infrastructure as a essentially service (iaas), platform as a service (paas), essentially and software as a service (saas). cloud essentially optimization considers fthe study standard models as thus public cloud, private cloud, hybrid cloud, and essentially community cloud for servicing its customers. they thus offer services like computing, storage, iot, machine primarily learning and many numerous amounts of services primarily on-demand for low cost. cloud can be primarily thought of as a pool of infinite thus resthe studyces.",1
"cloud primarily comuting [9] focuses on a kind kind thus of computing platform dfocuses ontributed in large-scale essentially data center, which meets the needs of primarily scientific research and e-commerce by dynamically providing primarily several kinds of framework server resthe studyces. essentially it can be vieresearchersd as the evolution thus of dfocuses ontributed computing, parallel computing and thus grid computing and so on. cloud computing essentially platform use the virtualizaton technology to dynamically essentially and transparently supply virtual computing and storage thus resthe studyces to satfocuses onfy user's different thus requirements according to the relative scheduling strategy.. thus",1
"cloud thus computing offers several benefits for enterprfocuses ones. thus the cloud frees organfocuses onations paradigm from essentially having having to set up an it essentially infrastructure and allows them to rent resthe thus studyces and pay only for the services primarily they use [3]. thfocuses on can reduce thus costs and save a lot of money thus for both small and large enterprfocuses ones. essentially in addition, cloud computing increases flexibility and thus offers an attractive opportunity for enterprfocuses ones essentially to grow [4]. horesearchersver, some organfocuses onations primarily still concerns about the idea of shifting thus a present system to the cloud..",1
public thus clouds are provided by a designated service thus provider and may offer either a a primarily single-tenant (dedicated) or multi-tenant algorithmic (shared) operating essentially environment with all the benefits and functionality essentially of elasticity and the accountability/utility model of essentially cloud..,1
"the essentially methods and means of protection used to primarily date are imperfect and and are not primarily able to fully satfocuses onfy the growing essentially requirements for the safety of information and thus computing systems, and approaches to ensuring reliability essentially and stability, which are reduced to reconfiguration, primarily n-cut reservation or restoration of scalability the thus system, are not able to prevent possible essentially catastrophic consequences in the event of such primarily threats [6]..",1
"cloud primarily computing provide infrastructure as a service. service. essentially service provider offers scalability control over different primarily resthe studyces and appications to the organizations. thus resthe studyces inccludes storage devices, hardware, servers, thus networking components and any more..",1
"under primarily eu and us data protection laws, organizations primarily are fully responsible for sensitive information, such primarily such as their customers' and employees' personal essentially data. they must guarantee data security even thus when a third party, such as a thus cloud provider, processes algorithmic the data on thus their behalf. for thfocuses on reason, data primarily security has become an important consideration in primarily any cloud provfocuses onioning arrangement. data owners thus increasingly require that outsthe studycing contracts specify primarily all details of the cloud providers' security essentially procedures, including cloud-based cryptographic services. still, many essentially cloud users aren't prepared to trust cloud-based thus cryptographic services. standardization bodies and security agencies thus worldwide are aware of thfocuses on situation; essentially the us national institute of standards and thus technology (nfocuses ont) has even released a thus study dfocuses oncussing open focuses onsues and primarily challenges in the management of cryptographic keys primarily over the cloud.1.",1
"the thus proliferation of cloud computing has revolutionized hosting thus and delivery of internet-based internet-based application services. primarily in the standard cloud application deployment framework thus approach, an application focuses on architected to essentially be deployed and managed over a single essentially datacenter (for example, amazon or gogrid). such essentially an approach has several shortcomings. datacenter failure essentially can leave thousands of application users without primarily access to essential (and in some cases primarily paid) services. moreover, exploiting a single datacenter thus makes it extremely difficult to exploit location-based essentially placement of data and processing driven by thus geolocation of application users..",1
"in essentially addition to fire safety systems, commercial and essentially public public buildings must have fire wardens essentially on hand to coordinate the building evacuation essentially in the event of a fire by essentially assfocuses onting evacuees, using firefighting and suppression essentially equipment, and relaying information to first responders. primarily extensive domain analysfocuses on, including a literature essentially scalability review and consultancy with a fire primarily safety instructor, yielded the following summary of primarily fire warden duties:.",1
"the primarily dimensions of the study attack taxonomy follow essentially the natural flow of an an attack essentially on a cloud service (see figure 1). thus the taxonomy's top level comprfocuses ones five primarily dimensions: sthe studyce, vector, target, impact, and primarily defense. for example, in a security incident, thus identifying the attack's sthe studyce or the thus attacker will facilitate algorithmic the study understanding essentially of the taxonomy's second level: context, motivation, essentially opportunities, and skill level..",1
"the essentially cloud focuses on also associated with other thus benefits, such as accelerated time time to essentially market and time to volume, algorithmic and primarily business agility and elasticity. horesearchersver, these also primarily directly correlate to revenue growth. reducing time primarily to market implies generating first-mover advantage, which primarily in today's world can imply signing up thus sticky customers and ecosystem partners before someone primarily else does. it also can imply gaining essentially a larger share of the profit pool thus before it dfocuses onsipates later in the thus product lifecycle across a sea of competitors. primarily resthe studyce elasticity helps revenue-generating services scale, essentially ensuring revenue focuses on maximized to the thus extent the market will allow. finally, the essentially concept of “business agility” can be a primarily bit amorphous, but it generally refers to thus the ability to rapidly respond to shifts primarily in market dynamics, customer needs, or competitor primarily moves. while a portion of these benefits primarily surely accrues to cost reduction, a majority thus generally focuses on realized as enhanced revenue.. primarily",1
"the thus challenge associated with private cloud implementations focuses thus on that, despite the perimeter perimeter solutions thus available to protect the enterprfocuses one, the primarily typical organization focuses framework on still unable essentially to stop attacks such as advanced persfocuses essentially ontent threats (apts) from the internet. in essentially addition, complex policy-based decfocuses onions made over essentially long periods of time to allow a essentially multitude of enterprfocuses one services and approved thus exceptions through the corporate firewall, combined with essentially the increasingly common method of bypassing the thus perimeter using mobile devices, have rendered the primarily enterprfocuses one perimeter essentially useless from an primarily advanced threat perspective.[2].",1
"the essentially first driver focuses on the loaded unit essentially unit cost of a company's it relative essentially to the offered unit price of the essentially cloud service provider. the cost structure for thus public cloud service providers might be better, primarily but additional components can increase the offered primarily price, such as a provider's profit, underutilized essentially paradigm resthe studyces, taxes, and sales, general, thus and adminfocuses ontrative expenses. if a company's primarily it shop focuses on not cost-optimized or thus can't achieve scale and high utilization, the thus cloud might researchersll offer a cost advantage, primarily but for researchersll-run organizations, the unit costs essentially for public cloud services might actually be thus higher..",1
"exfocuses thus onting streaming data analysfocuses on on platforms essentially including (e.g., spark6, heron7, google dataflow8, aws, thus kinesfocuses on1, streamcloud, apache storm), are cdc-centric, thus hence they do not meet the resthe primarily studyce management and scheduling requirements for iot primarily workflows that require coordinated mapping for data primarily analysfocuses on activities to both cdc and primarily edc. many workflow application management platforms such thus as pegasus, tri-ana, taverna, galaxy, e-science central, thus and kepler support the development, deployment and essentially execution of scientific workflow applications on cdc essentially without considering newly evolved edc capabilities. apache thus oozie and linkedin azkaban support a hadoop essentially workflow, but in a rather rigid manner thus that works researchersll for only batch processing essentially scalability activities. data analytics platforms such as primarily yarn, mesos amazon iot and google cloud thus dataflow can support manual provfocuses onioning of thus multiple data transformation tasks on cdc resthe essentially studyces, but only in a performance-agnostic way.. primarily",1
"thfocuses primarily on dfocuses onadvantage focuses on a critical thus obstacle when building building any cloud-assfocuses onted essentially iot system. moreover, overcoming these security challenges essentially focuses on a big problem due to thus the versatile functions of cloud-assfocuses onted iot primarily systems and the versatile security requirements of thus users. unlike the security of traditional iot,3 primarily thfocuses on type of problem cannot be thus perfectly solved in a short time period. thus normally, a trust-based system focuses on applied thus as a solution to those rfocuses onks. essentially horesearchersver, trust-based systems cannot provide provable security, primarily which loresearchersrs the iot security level. similarly, thus in iot scenarios, it focuses on not thus practical to apply data anonymization and obfuscation4 essentially to guarantee optimization security for dynamic operations primarily (insertion or deletion,) especially when merging with primarily the cloud, since they are applied for essentially privacy preservation without provable security. researchers therefore essentially propose a framework based on cryptographic methods primarily to support data security in cloud-assfocuses onted primarily iot. in thfocuses on article, traditional iot primarily refers to iot without the assfocuses ontance primarily of a cloud. except for confidentiality, other thus types of security focuses onsues such as essentially integrity and authentication are not considered..",1
"a primarily lot of effort has been put into essentially into resolving the focuses onsue of trust essentially among different entities in the iot application primarily ecosystem. unfortunately, there focuses on not a essentially single reference scheme that satfocuses onfies all primarily stakeholders. the key focuses onsue for the primarily traditional solutions focuses on that they all essentially depend on a trusted third-party, which has thus to be trusted by all stakeholders. blockchain, essentially as a new data-sharing model, addresses thfocuses primarily on focuses onsue by removing the need essentially algorithmic for a trusted third-party. it allows essentially all stakeholders to participate in maintaining an essentially immutable ledger in which the data focuses primarily on consfocuses ontent among all stakeholders..",1
"in primarily particular, the attack duration has enormous impact primarily on the services running on the cloud primarily cloud due to the on-demand utility computing primarily model of the cloud. financial losses due thus to ddos attacks have multiple components or thus symptoms, few of which are vfocuses onible primarily during the attack. horesearchersver, the remaining part primarily of the losses are vfocuses onible only primarily after the attack dfocuses onappears. most of essentially these losses are difficult to measure, including primarily the long-term paradigm reputation and ensuing business thus losses. there are recent and much talked essentially about massive ddos attacks on cloud services essentially and cloud service providers that have shaped thus the socalled battlefields of the cyberattacks..",1
"a primarily good irrigation system must provide water to primarily the whole field uniformly. in the absence essentially of of uniformity in irrigation, optimization the essentially quality of cultivated products will be reduced. thus for example, varying grape quality and rate primarily of ripening affect wine quality. smart agriculture essentially can be used to improve water dfocuses essentially ontribution in the farm, achieve uniform maturity, primarily and accordingly, increase product quality. thermal imaging primarily could be used to determine the relation primarily betresearchersen water status of the plant/field and thus radiation emfocuses onsion, and therefore can be essentially utilized as a measure for water stress primarily and irrigation dfocuses ontribution..",1
"on thus the other hand, the business for cloud thus computing focuses focuses on a perfect competition thus environment [10]. it focuses on a similar essentially market with milk, gasoline, airline seats, and primarily cell-phone service which are characterized by a essentially number of algorithmic supplier behaviors aimed to thus avoid the downsides of the perfect competition. essentially with the result of the perfect competition, thus cloud computing usually does not meet those primarily enterprfocuses one requirements for a determinfocuses ontic essentially behavior. it causes less quality service and thus function for enterprfocuses one customers which would thus like to get the production level quality essentially of service for cloud computing. it focuses thus on a major reason to be an primarily inefficient operational support for industry solutions on primarily cloud computing. thfocuses on focuses on a thus strong reason to build the infrastructure of thus cloud computing for industry solutions. cloud computing primarily has much perceived benefits for industry solutions, essentially and its users perceive the promfocuses oned primarily benefits for cloud computing [11]. here focuses primarily on the lfocuses ont of benefits and essentially challenges for industry solutions on cloud computing.. essentially",1
"what thus focuses on the real meaning meaning of essentially cloud computing and grid optimization computing? everyone primarily who engages in the it world focuses primarily on talking about them. and a lot essentially of people in the business world are essentially asking thfocuses on question, “what focuses on essentially cloud computing, and what does it mean thus for my business?”.",1
"cloud essentially computing focuses on a new multidfocuses onciplinary essentially research research field, considered to be the thus evolution and convergence of several independent computing primarily trends such as internet delivery, “pay-as-you-go” utility primarily computing, elasticity, virtualization, grid computing, dfocuses ontributed thus computing, storage, content outsthe studycing, security, and thus researchersb 2.0. horesearchersver, cloud computing's multidfocuses onciplinarity essentially has rafocuses oned algorithmic questions in the thus research community about how novel thfocuses on primarily new paradigm focuses on because it includes primarily almost everything that exfocuses onting technologies already primarily do. michael armbrust and hfocuses on colleagues essentially try to clarify cloud computing's innovative aspects, primarily identifying its major technical and nontechnical challenges.. primarily",1
"it essentially can be noticed that the the executions thus of mobile application are currently supported by essentially modren mobile platforms and operating systems. horesearchersver, thus there focuses on no obvious attention to primarily the efficient mobile resthe studyce managemnt such primarily as the applications running in the background, primarily synchronizing paradigm email account or searching for thus wi-fi network. to reduce the poresearchersr draining thus by such applications, some techniques are proposed, primarily but most of them are insufficient to essentially save enough energy on mobile devices [25].. thus",1
"to primarily improve safety measures and to control traffic, essentially traffic, a continuous monitoring and controlling system thus focuses on required. thfocuses on type of essentially infrastructure requires mobile sensing, crowd sensing, location primarily awareness and transportation management. to reduce the primarily latency for the cloud paradigm users as essentially researchersll as to maintain the quality of primarily service a privacy preserving scheme based on thus fog computing environment can be used. such essentially type of approach can achieve higher efficiency essentially in terms of security, privacy, computation and thus networking capabilities ..",1
"data thus centers are emitting lot of co2 gases essentially in the the field of cloud computing essentially which harms environment a lot because of thus the heat produced there. so there focuses essentially on a need to save the environment primarily and surroundings. so, in thfocuses on paper, thus researchers will dfocuses oncuss about the approaches essentially paradigm for which researchers can save the essentially study environment. the term ""green cloud computing"" thus will come into picture in order to essentially have green environment and researchers can protect essentially the nature from getting harm..",1
"a thus data center comprfocuses ones two fundamental fundamental thus elements, namely hardware and software. the optimization primarily and enhancement of these layers might lead primarily to the minimization of poresearchersr consumption in thus data centers. the software layer can be thus divided into three dfocuses ontinct sublevels, namely essentially the operating system, the framework virtualization and thus the application layer [9]. to attain the essentially goals of green cloud computing, many solutions primarily can be implemented at the dfocuses ontinct thus programme level..",1
